,bm25_Gargiulo_Piacente_title_text_PorterStemmer,bm25_Gargiulo_Piacente_only_title_PorterStemmer,bm25_Gargiulo_Piacente_only_text_SnowballStemmer,bm25_Gargiulo_Piacente_only_title_SnowballStemmer,tfidf_Gargiulo_Piacente_only_text_SnowballStemmer,tfidf_Gargiulo_Piacente_title_text_PorterStemmer,tfidf_Gargiulo_Piacente_only_title_PorterStemmer,tfidf_Gargiulo_Piacente_only_title_SnowballStemmer,bm25_Gargiulo_Piacente_only_text_PorterStemmer,tfidf_Gargiulo_Piacente_title_text_SnowballStemmer,tfidf_Gargiulo_Piacente_only_text_PorterStemmer,bm25_Gargiulo_Piacente_title_text_SnowballStemmer
P@5,0.2985,0.2248,0.2898,0.2248,0.2892,0.2966,0.226,0.226,0.2898,0.2966,0.2892,0.2985
P@10,0.2325,0.1687,0.2263,0.1687,0.2272,0.2313,0.1684,0.1684,0.2263,0.2313,0.2272,0.2325
P@25,0.146,0.1038,0.1438,0.1038,0.1435,0.1453,0.1034,0.1034,0.1438,0.1453,0.1435,0.146
P@50,0.1003,0.065,0.0983,0.065,0.0977,0.1001,0.0649,0.0649,0.0983,0.1001,0.0977,0.1003
P@100,0.065,0.0396,0.0641,0.0396,0.0639,0.065,0.0395,0.0395,0.0641,0.065,0.0639,0.065
Rprec,0.171,0.118,0.1682,0.118,0.169,0.1712,0.1176,0.1176,0.1682,0.1712,0.169,0.171
