,bm25_Gargiulo_Piacente_title_text_PorterStemmer,bm25_Gargiulo_Piacente_only_title_PorterStemmer,bm25_Gargiulo_Piacente_only_text_SnowballStemmer,bm25_Gargiulo_Piacente_only_title_SnowballStemmer,tfidf_Gargiulo_Piacente_only_text_SnowballStemmer,tfidf_Gargiulo_Piacente_title_text_PorterStemmer,tfidf_Gargiulo_Piacente_only_title_PorterStemmer,tfidf_Gargiulo_Piacente_only_title_SnowballStemmer,bm25_Gargiulo_Piacente_only_text_PorterStemmer,tfidf_Gargiulo_Piacente_title_text_SnowballStemmer,tfidf_Gargiulo_Piacente_only_text_PorterStemmer,bm25_Gargiulo_Piacente_title_text_SnowballStemmer
Recall@50,0.2146,0.1617,0.2096,0.1617,0.2082,0.2138,0.1617,0.1617,0.2096,0.2138,0.2082,0.2146
Recall@1000,0.3628,0.2216,0.3586,0.2216,0.3599,0.3654,0.2216,0.2216,0.3586,0.3654,0.3599,0.3628
