model_name,accuracy,accuracy_interval_lower,accuracy_interval_upper,precision,precision_interval_lower,precision_interval_upper,recall,recall_interval_lower,recall_interval_upper,f1_score,f1_score_interval_lower,f1_score_interval_upper
Neural Network,0.9830028328611898,0.981089814468678,0.9879346888662007,0.9922879177377892,0.9854899812572242,0.9922737224358134,0.9846938775510204,0.9865495606808891,0.9941675247139575,0.9884763124199744,0.987309268866203,0.9919026370374359
SVM,0.9858356940509915,0.9835974794541921,0.9865640927539611,0.98856416772554,0.9772455531036652,0.9839933606326312,0.9923469387755102,0.9776594740248552,0.9828685068420042,0.9904519414385742,0.9784547686974726,0.9823241713646446
Decision Tree,0.9782813975448537,0.9750994724581397,0.9826007094443465,0.9810366624525917,0.9676511675737304,0.9756213194674442,0.9897959183673469,0.9659580466636982,0.9798913955570207,0.9853968253968254,0.9671586501517294,0.9772601988919091
