experiment_name,model_name,accuracy,accuracy_interval_lower,accuracy_interval_upper,precision,precision_interval_lower,precision_interval_upper,recall,recall_interval_lower,recall_interval_upper,f1_score,f1_score_interval_lower,f1_score_interval_upper
experiment #1,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #1,Neural Network,0.8092540132200189,0.8384470095515405,0.8533481183152073,0.8169934640522876,0.855758567625709,0.8683569012972928,0.9566326530612244,0.9374388054294048,0.9509374716379986,0.881316098707403,0.8965040510560541,0.9059280244468852
experiment #1,Decision Tree,0.7875354107648725,0.7884076550616563,0.8089451287597229,0.865359477124183,0.7235221450122232,0.7492376825418358,0.8443877551020408,0.7262413802018378,0.7499905666381689,0.854744996772111,0.7248516747090498,0.748684693629032
experiment #2,SVM,0.9792256846081208,0.9752089717438998,0.9847546477589004,0.978643216080402,0.9718147349202408,0.9850806398203172,0.9936224489795918,0.961222507054954,0.9764495377101772,0.9860759493670886,0.9670809473593784,0.9797553482428848
experiment #2,Neural Network,0.9773371104815864,0.9788051655989825,0.9868195446053905,0.988431876606684,0.981617931273158,0.9921951633195352,0.9808673469387756,0.9877705457913216,0.992441495588875,0.9846350832266324,0.9858265663275364,0.9911462299943988
experiment #2,Decision Tree,0.9782813975448535,0.974335532368822,0.9826070791802024,0.9847133757961783,0.9640845177050628,0.9767253347048408,0.985969387755102,0.9673722578108824,0.979471067659267,0.9853409815168898,0.9663857630023814,0.9772336431527036
experiment #3,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #3,Neural Network,0.7469310670443815,0.8014211625323386,0.8174703023176808,0.7461832061068703,0.8182313371935916,0.8274081559797295,0.9974489795918368,0.9404207467225504,0.956087638550212,0.8537117903930131,0.8759128956999267,0.8862333683252084
experiment #3,Decision Tree,0.6997167138810199,0.7386916181563533,0.7612078004690347,0.8057742782152231,0.6594832466183157,0.6876055156187914,0.7831632653061225,0.6613772812902988,0.6925842083581425,0.7943078913324709,0.660403490112516,0.689134614516453
experiment #4,SVM,0.980169971671388,0.9766322926927986,0.9852181192628316,0.979874213836478,0.9732548898355916,0.9850722591565088,0.9936224489795918,0.9630718013799536,0.978297857916151,0.986700443318556,0.9689621335007752,0.9804294629196708
experiment #4,Neural Network,0.9735599622285176,0.9785429171574755,0.9874634315959574,0.9921875,0.98194847274106,0.9918593666998398,0.971938775510204,0.98645691067961,0.9942627449137846,0.981958762886598,0.9856221162537824,0.9915963861801004
experiment #4,Decision Tree,0.9792256846081208,0.9652981974315702,0.97654008769166,0.9847328244274808,0.9533250292593132,0.9704750717575326,0.9872448979591836,0.9536987439172508,0.9703480564445368,0.9859872611464968,0.9543532194762208,0.9692370194121196
experiment #5,SVM,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.3719628568436331,0.3725133709981473,1.0,,,0.8507867607162235,0.4265809864735921,0.4269428859235195
experiment #5,Neural Network,0.7403210576015109,0.7439257136872662,0.7450267419962947,0.7403210576015109,0.7439257136872662,0.7450267419962947,1.0,,,0.8507867607162235,0.8531619729471843,0.8538857718470391
experiment #5,Decision Tree,0.6118980169971672,0.6199652221608085,0.6344279012118776,0.7311028500619579,0.4931805581777012,0.5231800680589892,0.7525510204081632,0.4945496612561958,0.5231796372713858,0.7416719044626021,0.4935161719124781,0.5231564237464847
experiment #6,Neural Network (mean),0.9773371104815864,0.958078612570304,0.9728070028664404,0.9871794871794872,0.9606165000198136,0.9758272901658894,0.9821428571428572,0.9806956247906018,0.9914061550718924,0.9846547314578004,0.9721638876189448,0.9818735888959024
experiment #6,Neural Network (EM),0.9792256846081208,0.983582400293058,0.9911131805465472,0.990979381443299,0.9874898503619332,0.9938081363203544,0.9808673469387756,0.98866349533946,0.9961170739595184,0.985897435897436,0.9889731962243572,0.9940449591183784
experiment #6,SVM (mean),0.9811142587346552,0.9595077880644348,0.9690986962241834,0.9847715736040608,0.9605889560533938,0.97354240096295,0.9897959183673468,0.930312214714934,0.9469502550526852,0.9872773536895676,0.945009392643542,0.9582290119573976
experiment #6,SVM (EM),0.9811142587346552,0.980407844900928,0.9878605147666544,0.9798994974874372,0.9773569269608436,0.987605551843018,0.9948979591836736,0.969729703998554,0.9817357329904948,0.9873417721518988,0.9740379404804688,0.9839317387016288
experiment #6,Decision Tree,0.9782813975448535,0.9747232848288924,0.9856198331937208,0.9810366624525916,0.9650032457590372,0.9822308970017504,0.9897959183673468,0.9678188591591532,0.9812943180500168,0.9853968253968254,0.9668673739364156,0.9811232427716938
experiment #7,Neural Network (mean),0.9820585457979226,0.9836345111741808,0.9903056393412096,0.9872611464968152,0.9864529528847994,0.9938678692335772,0.9885204081632653,0.988971031548244,0.9958095377507344,0.9878903760356916,0.9890220815745984,0.9934986804115882
